run,p50,p75,p90,p95,p99,p99.5,p99.9
1,3940,NA,2006,NA,NA,NA,8104
2,3932,NA,1986,NA,NA,NA,8104
3,3932,NA,1986,NA,NA,NA,8120
4,3924,NA,1982,NA,NA,NA,8120
5,3932,NA,1990,NA,NA,NA,8088
6,3932,NA,1982,NA,NA,NA,8152
7,3924,NA,1990,NA,NA,NA,8104
8,3932,NA,1982,NA,NA,NA,8120
9,3932,NA,1982,NA,NA,NA,8120
10,3924,NA,1990,NA,NA,NA,8104
11,3924,NA,1990,NA,NA,NA,8104
12,3932,NA,1994,NA,NA,NA,8104
13,3932,NA,1974,NA,NA,NA,8136
14,3924,NA,1990,NA,NA,NA,8104
15,3924,NA,1998,NA,NA,NA,8104
16,3924,NA,1990,NA,NA,NA,8136
17,3932,NA,1990,NA,NA,NA,8088
18,3916,NA,1998,NA,NA,NA,8040
19,3924,NA,1994,NA,NA,NA,8088
20,3916,NA,1990,NA,NA,NA,8072
21,3924,NA,1998,NA,NA,NA,8072
22,3916,NA,1998,NA,NA,NA,8024
23,3924,NA,1990,NA,NA,NA,8104
24,3932,NA,1982,NA,NA,NA,8120
25,3916,NA,1998,NA,NA,NA,8056
26,3924,NA,1990,NA,NA,NA,8088
27,3932,NA,1982,NA,NA,NA,8136
28,3924,NA,1990,NA,NA,NA,8104
29,3932,NA,1990,NA,NA,NA,8088
30,3916,NA,1994,NA,NA,NA,8088
31,3924,NA,1994,NA,NA,NA,8088
32,3924,NA,1990,NA,NA,NA,8120
33,3924,NA,1990,NA,NA,NA,8104
34,3932,NA,1994,NA,NA,NA,8040
35,3924,NA,1990,NA,NA,NA,8120
36,3924,NA,1998,NA,NA,NA,8056
37,3924,NA,1990,NA,NA,NA,8120
38,3916,NA,1990,NA,NA,NA,8024
39,3932,NA,1986,NA,NA,NA,8104
40,3924,NA,1990,NA,NA,NA,8088
41,3924,NA,1998,NA,NA,NA,8056
42,3932,NA,1990,NA,NA,NA,8120
43,3916,NA,1990,NA,NA,NA,8072
44,3940,NA,1990,NA,NA,NA,8136
45,3932,NA,1974,NA,NA,NA,8184
46,3932,NA,1978,NA,NA,NA,8464
47,3916,NA,1994,NA,NA,NA,8056
48,3940,NA,1982,NA,NA,NA,8120
49,3924,NA,1986,NA,NA,NA,8088
50,3932,NA,1986,NA,NA,NA,8120
51,3916,NA,1990,NA,NA,NA,8072
52,3916,NA,1998,NA,NA,NA,8024
53,3924,NA,1998,NA,NA,NA,8088
54,3924,NA,1990,NA,NA,NA,8056
55,3932,NA,1986,NA,NA,NA,8136
56,3940,NA,1998,NA,NA,NA,8120
57,3932,NA,1994,NA,NA,NA,8104
58,3940,NA,1990,NA,NA,NA,8120
59,3924,NA,1990,NA,NA,NA,8104
60,3916,NA,1998,NA,NA,NA,8072
61,3924,NA,1990,NA,NA,NA,8072
62,3940,NA,1986,NA,NA,NA,8136
63,3924,NA,1990,NA,NA,NA,8088
64,3916,NA,1990,NA,NA,NA,8088
65,3924,NA,1990,NA,NA,NA,8072
66,3916,NA,1998,NA,NA,NA,8040
67,3932,NA,1982,NA,NA,NA,8120
68,3932,NA,1986,NA,NA,NA,8104
69,3924,NA,1982,NA,NA,NA,8104
70,3924,NA,1998,NA,NA,NA,8120
71,3940,NA,1986,NA,NA,NA,8104
72,3932,NA,2002,NA,NA,NA,8040
73,3924,NA,1990,NA,NA,NA,8120
74,3924,NA,1990,NA,NA,NA,8104
75,3916,NA,1998,NA,NA,NA,8024
76,3932,NA,1978,NA,NA,NA,8120
77,3916,NA,1994,NA,NA,NA,8072
78,3924,NA,1990,NA,NA,NA,8104
79,3924,NA,1986,NA,NA,NA,8120
80,3924,NA,1994,NA,NA,NA,8088
81,3924,NA,1990,NA,NA,NA,8056
82,3924,NA,1994,NA,NA,NA,8120
83,3916,NA,1990,NA,NA,NA,8072
84,3924,NA,1986,NA,NA,NA,8104
85,3932,NA,1986,NA,NA,NA,8120
86,3932,NA,1998,NA,NA,NA,8120
87,3924,NA,1990,NA,NA,NA,8104
88,3924,NA,1990,NA,NA,NA,8104
89,3924,NA,1994,NA,NA,NA,8104
90,3916,NA,1990,NA,NA,NA,8072
91,3924,NA,1998,NA,NA,NA,8072
92,3924,NA,1990,NA,NA,NA,8088
93,3916,NA,1998,NA,NA,NA,8120
94,3932,NA,1986,NA,NA,NA,8120
95,3932,NA,1998,NA,NA,NA,8104
96,3924,NA,1990,NA,NA,NA,8056
97,3924,NA,1994,NA,NA,NA,8104
98,3940,NA,1986,NA,NA,NA,8120
99,3924,NA,1990,NA,NA,NA,8088
100,3940,NA,1986,NA,NA,NA,8120
